
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005000                       # Number of seconds simulated (Second)
system.bigCluster.cpus.issuedInstType_0::SimdShaSigma3            0      0.00%     68.44% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdSha3            0      0.00%     68.44% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdSm4e            0      0.00%     68.44% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdCrc         1226      0.02%     68.46% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdPredAlu            0      0.00%     68.46% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdDotProd            0      0.00%     68.46% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::Matrix            0      0.00%     68.46% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::MatrixMov            0      0.00%     68.46% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::MatrixOP            0      0.00%     68.46% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::MemRead      1308390     17.86%     86.31% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::MemWrite       876828     11.97%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::FloatMemRead            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::FloatMemWrite            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::InstPrefetch            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdUnitStrideLoad            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdUnitStrideStore            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdUnitStrideMaskLoad            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdUnitStrideMaskStore            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdStridedLoad            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdStridedStore            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdIndexedLoad            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdIndexedStore            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdWholeRegisterLoad            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdWholeRegisterStore            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdStrideSegmentedLoad            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdStrideSegmentedStore            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdExt            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdFloatExt            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdConfig            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdBf16Add            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdBf16Cmp            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdBf16Cvt            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdBf16DotProd            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdBf16MatMultAcc            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdBf16Mult            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::SimdBf16MultAcc            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::Bf16Cvt            0      0.00%     98.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::System       125950      1.72%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::total      7327521                       # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issueRate             0.738031                       # Inst issue rate ((Count/Cycle))
system.bigCluster.cpus.fuBusy                 1808593                       # FU busy when requested (Count)
system.bigCluster.cpus.fuBusyRate            0.246822                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.bigCluster.cpus.intInstQueueReads     25367532                       # Number of integer instruction queue reads (Count)
system.bigCluster.cpus.intInstQueueWrites      8348644                       # Number of integer instruction queue writes (Count)
system.bigCluster.cpus.intInstQueueWakeupAccesses      7149128                       # Number of integer instruction queue wakeup accesses (Count)
system.bigCluster.cpus.fpInstQueueReads             0                       # Number of floating instruction queue reads (Count)
system.bigCluster.cpus.fpInstQueueWrites            0                       # Number of floating instruction queue writes (Count)
system.bigCluster.cpus.fpInstQueueWakeupAccesses            0                       # Number of floating instruction queue wakeup accesses (Count)
system.bigCluster.cpus.vecInstQueueReads        37561                       # Number of vector instruction queue reads (Count)
system.bigCluster.cpus.vecInstQueueWrites        18614                       # Number of vector instruction queue writes (Count)
system.bigCluster.cpus.vecInstQueueWakeupAccesses        17205                       # Number of vector instruction queue wakeup accesses (Count)
system.bigCluster.cpus.intAluAccesses         9113396                       # Number of integer alu accesses (Count)
system.bigCluster.cpus.fpAluAccesses                0                       # Number of floating point alu accesses (Count)
system.bigCluster.cpus.vecAluAccesses           18844                       # Number of vector alu accesses (Count)
system.bigCluster.cpus.numRecvResp            2056720                       # Number of received responses (Count)
system.bigCluster.cpus.numRecvRespBytes      17757928                       # Number of received response bytes (Byte)
system.bigCluster.cpus.recvRespAvgBW             1.79                       # Average bandwidth of received responses ((Byte/Cycle))
system.bigCluster.cpus.recvRespAvgSize           8.63                       # Average packet size per received response ((Byte/Count))
system.bigCluster.cpus.recvRespAvgRate           0.21                       # Average rate of received responses per cycle ((Count/Cycle))
system.bigCluster.cpus.recvRespAvgRetryRate         0.00                       # Average retry rate per received response ((Count/Count))
system.bigCluster.cpus.numSendRetryResp             0                       # Number of retry responses sent (Count)
system.bigCluster.cpus.numSquashedInsts         91651                       # Number of squashed instructions skipped in execute (Count)
system.bigCluster.cpus.numSwp                       0                       # Number of swp insts executed (Count)
system.bigCluster.cpus.timesIdled               19422                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.bigCluster.cpus.idleCycles             1027137                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.bigCluster.cpus.quiesceCycles          6573178                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
